Nombre,Email,Teléfono,Web,Dirección,Categoría,Ubicación,Rating,Reviews
"Centro Médico Vistalegre","","+34 688 79 80 32","/url?q=http://www.centromedicovistalegre.com/&opi=79508299&sa=U&ved=0ahUKEwjs1qqw96mRAxXbRmwGHbnCGy0Q61gI2QIoDw&usg=AOvVaw0kLqlegE0JPOPBBv5qxcbr","Pl. Pintor Inocencio Medina Vera, 1, Bajo, 30007 Murcia, España","médicos","Murcia",4,20
"Restaurante La Pequeña Taberna","reservas@lapequenataberna.com","+34 968 21 98 40","http://www.lapequenataberna.com/","Pl. San Juan, 7, 30003 Murcia, España","restaurantes","Murcia",4.5,4569
"RESTAURANTES MURCIA CONJUGOO","","+34 633 70 87 00","http://conjugoo.es/","RESTAURANTE CONJUGOO MURCIA -The Cóctel Shop, C. Simón García, 1, 30003 Murcia, España","restaurantes","Murcia",4.9,1322
"Centro de Especialidades Doctor Quesada","","+34 968 29 10 98","/url?q=http://www.murciasalud.es/pagina.php%3Fid%3D190893%26idsec%3D347&opi=79508299&sa=U&ved=0ahUKEwjs1qqw96mRAxXbRmwGHbnCGy0Q61gI-wIoDw&usg=AOvVaw3ZctXcg-p0uCpabnZvr7ap","Calle Dr. Jesús Quesada Sanz, S/N, 30005 Murcia, España","médicos","Murcia",3.7,76
"Pura Cepa","puracepa@puracepamurcia.com","+34 968 21 73 97","http://www.puracepamurcia.com/","Pl. Cristo del Rescate, 8, 30001 Murcia, España","restaurantes","Murcia",4.4,1590
"Hospital Universitario Reina Sofía de Murcia","","+34 968 35 90 00","/url?q=http://www.murciasalud.es/seccion.php%3Fidsec%3D77&opi=79508299&sa=U&ved=0ahUKEwjs1qqw96mRAxXbRmwGHbnCGy0Q61gImQMoDw&usg=AOvVaw03w1kVy-U4Er5oYH-1MKoN","Av. Intendente Jorge Palacios, 1, 30003 Murcia, España","médicos","Murcia",3.2,591
"La Bodeguita de Javi Gracia","","+34 621 25 73 25","https://www.bodeguitamurcia.com/","Pl. Raimundo González Frutos, 5, 30001 Murcia, España","restaurantes","Murcia",4.6,616
"Restaurante Salzillo","contacto@restaurantesalzillo.com","+34 968 22 01 94","http://www.restaurantesalzillo.com/","C. Cánovas del Castillo, 28, 30003 Murcia, España","restaurantes","Murcia",4.6,2830
"Centro de Salud San Andrés","","+34 968 39 48 00","/url?q=http://www.murciasalud.es/&opi=79508299&sa=U&ved=0ahUKEwjs1qqw96mRAxXbRmwGHbnCGy0Q61gItwMoDw&usg=AOvVaw1fO65ckunqorRvpRpNGbhm","C. Escultor José Sánchez Lozano, 7, 30005 Murcia, España","médicos","Murcia",2.5,135
"Centro Médico La Fama","","+34 650 31 99 68","","C. de la Calí Josefa Fernández Romero, 30006 Murcia, España","médicos","Murcia",4,4
