nombre,direccion,telefono,web,email,rating,reviews,categoria,ciudad,google_place_id
"Restaurante La Pequeña Taberna","Pl. San Juan, 7, 30003 Murcia","+34 968 21 98 40","http://www.lapequenataberna.com/","","4.5","4569","restaurantes","Murcia","ChIJWQtBCaGBYw0RkC51JunMcR0"
"Pura Cepa","Pl. Cristo del Rescate, 8, 30001 Murcia","+34 968 21 73 97","http://www.puracepamurcia.com/","","4.4","1590","restaurantes","Murcia","ChIJo6lVPxqCYw0R8rMDm8ZrhlU"
"Restaurante Salzillo","C. Cánovas del Castillo, 28, 30003 Murcia","+34 968 22 01 94","http://www.restaurantesalzillo.com/","","4.6","2830","restaurantes","Murcia","ChIJZacxrBqCYw0RU5rhV7QKGTM"
"Restaurante Rincón de Pepe","C. Apóstoles, 34, 30001 Murcia","+34 610 99 99 99","https://www.restauranterincondepepe.com/","","4.3","1371","restaurantes","Murcia","ChIJizEgsBqCYw0R6jCQrt8GG2E"
"Restaurante Torremolinos","Ctra. de Churra, 113, 30110 Churra, Murcia","+34 968 24 74 81","https://torremolinosrestaurante.com/","","4.4","5323","restaurantes","Churra","ChIJZekQEPyDYw0RmdBlZsA1Nig"
"Lionza","C. Ruipérez, 3, 30005 Murcia","+34 665 51 81 34","https://lionza.es/","","4.8","346","restaurantes","Murcia","ChIJg7WgVXeDYw0R9_kZmg0R-hs"
"RESTAURANTES MURCIA CONJUGOO","RESTAURANTE CONJUGOO MURCIA -The Cóctel Shop, C. Simón García, 1, 30003 Murcia","+34 633 70 87 00","http://conjugoo.es/","","4.9","1322","restaurantes","Murcia","ChIJxyBZs3WDYw0RJWohcnxhRmU"
"Restaurante El Churra","Calle del, C. Obispo Sancho Dávila, 8, 30007 Murcia","+34 968 27 15 22","https://www.elchurrarestaurante.com/","","4.6","3709","restaurantes","Murcia","ChIJ06dMjRiCYw0RVRlTgMQiZMQ"
"El Pasaje de Zabálburu","Pl. de San Pedro, 3, 30004 Murcia","+34 622 62 21 67","http://el-pasaje-de-zabalburu.eatbu.com/","","4.4","1830","restaurantes","Murcia","ChIJXVtdOh2CYw0RFzVAlUng_N0"
"Restaurante Casa Ecuador","C. de Murcia, 5, Arganzuela, 28045 Madrid","+34 915 28 19 60","","","3.9","2521","restaurantes","Madrid","ChIJ4Qs4SS4mQg0RXoylbE2o33U"
